text,pos_tags
We serve fresh pav bhaji with spices,"['PRP', 'VB', 'JJ', 'NN', 'NN', 'NN', 'NN']"
beef cooked to perfection,"['NNP', 'VB', 'NN', 'NN']"
Freshly prepared swedish limpa every day,"['NN', 'VB', 'NN', 'NN', 'NN', 'NN']"
Get a combo with spinach and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
The best recipe for spring roll,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
Enjoy our classic cassava Kerala fish curry recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
We serve fresh fried rice with spices,"['PRP', 'VB', 'JJ', 'NN', 'NN', 'NN', 'NN']"
We serve fresh poha with spices,"['PRP', 'VB', 'JJ', 'NNP', 'NN', 'NN']"
The best recipe for vanocka,"['DT', 'JJ', 'NN', 'DT', 'NNP']"
Warm brazil nuts on a cold day,"['JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
Experience the taste of almond flax bread,"['VB', 'DT', 'NN', 'NN', 'NN', 'NN', 'NN']"
Home-style vada just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
We serve fresh punugulu with spices,"['PRP', 'VB', 'JJ', 'NNP', 'NN', 'NN']"
Home-style pav bhaji just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
Home-style quail egg just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
Order the best coconut macaroons in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN', 'NN']"
Warm fig on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Enjoy our classic chicken egg recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN', 'NN']"
Home-style flaxseeds just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
hazelnuts with rich flavors,"['NNP', 'NN', 'JJ', 'NN']"
Order the best anchovy fry in town,"['VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'NN']"
Authentic fig made in a traditional way,"['JJ', 'NNP', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Get a combo with bean soup and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Enjoy our classic injera recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
The best recipe for sunflower seeds,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
raisin cookies with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
Enjoy a plate of delicious macadamia nuts,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']"
Flavorsome dhokla for everyone,"['NN', 'NNP', 'DT', 'NN']"
Tasty and healthy walnuts,"['JJ', 'DT', 'NN', 'NNP']"
Freshly prepared dahi kebab every day,"['NN', 'VB', 'NN', 'NN', 'NN', 'NN']"
Enjoy a plate of delicious focaccia,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NNP']"
Enjoy our classic rajma chawal recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN']"
Flavorsome bread pakoda for everyone,"['NN', 'NN', 'NN', 'DT', 'NN']"
Enjoy a plate of delicious blueberry cheesecake,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']"
Warm curd on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Home-style baked eggs just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
Home-style chocolate tart just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
namak para with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
simit with rich flavors,"['NNP', 'NN', 'JJ', 'NN']"
Get a combo with pav bhaji and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Experience the taste of kung pao chicken,"['VB', 'DT', 'NN', 'NN', 'NN', 'NN', 'NNP']"
Get channa masala at our restaurant,"['VB', 'NN', 'NN', 'NN', 'PRP', 'NN']"
Traditional sesame seeds served hot,"['JJ', 'NN', 'NN', 'NN', 'NN']"
Flavorsome apple juice for everyone,"['NN', 'NNP', 'NN', 'DT', 'NN']"
Get a combo with plain bagel and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Flavorsome chicken for everyone,"['NN', 'NNP', 'DT', 'NN']"
grapes with rich flavors,"['NNP', 'NN', 'JJ', 'NN']"
Get a combo with palak paneer and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
The best recipe for banana bread,"['DT', 'JJ', 'NN', 'DT', 'NNP', 'NN']"
Freshly prepared challah every day,"['NN', 'VB', 'NNP', 'NN', 'NN']"
Get a combo with cauliflower and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
Indian coconut specialty,"['NN', 'NNP', 'NN']"
Try our famous aloo puri,"['VB', 'PRP', 'JJ', 'NN', 'NNP']"
Experience the taste of pineapple,"['VB', 'DT', 'NN', 'NN', 'NNP']"
Home-style peach just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
Delightful parotta with curry,"['NN', 'NNP', 'NN', 'NN']"
Order the best yoghurt in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN']"
Enjoy our classic mango recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
Authentic baguette made in a traditional way,"['JJ', 'NNP', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Get pani puri at our restaurant,"['VB', 'NN', 'NNP', 'NN', 'PRP', 'NN']"
Delightful vegetable soup with curry,"['NN', 'NN', 'NN', 'NN', 'NN']"
Get pork at our restaurant,"['VB', 'NNP', 'NN', 'PRP', 'NN']"
Tasty and healthy onion,"['JJ', 'DT', 'NN', 'NNP']"
Traditional aloo puri served hot,"['JJ', 'NN', 'NNP', 'NN', 'NN']"
Authentic curd made in a traditional way,"['JJ', 'NNP', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Enjoy a plate of delicious cashew,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NNP']"
Authentic strawberry juice made in a traditional way,"['JJ', 'NN', 'NN', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Indian mushroom soup specialty,"['NN', 'NN', 'NN', 'NN']"
Warm pear on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Enjoy a plate of delicious blueberry pie,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']"
Tasty and healthy blueberry cheesecake,"['JJ', 'DT', 'NN', 'NN', 'NN']"
Experience the taste of cabbage kootu,"['VB', 'DT', 'NN', 'NN', 'NNP', 'NN']"
Warm indian flatbread on a cold day,"['JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
Order the best chia seeds in town,"['VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'NN']"
Indian panettone specialty,"['NN', 'NNP', 'NN']"
Flavorsome blueberry muffin for everyone,"['NN', 'NN', 'NN', 'DT', 'NN']"
Warm pecans on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Try our famous butter,"['VB', 'PRP', 'JJ', 'NNP']"
Experience the taste of plain dosa,"['VB', 'DT', 'NN', 'NN', 'NN', 'NN']"
Warm hazelnuts on a cold day,"['JJ', 'NNP', 'NN', 'NN', 'NN', 'NN']"
Indian avocado juice specialty,"['NN', 'NN', 'NN', 'NN']"
Enjoy a plate of delicious blackberry,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NNP']"
Try our famous pretzels,"['VB', 'PRP', 'JJ', 'NNP']"
Home-style palak paneer just for you,"['NN', 'NN', 'NN', 'DT', 'DT', 'NN']"
Home-style sambar just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
dum aloo cooked to perfection,"['NN', 'NN', 'VB', 'NN', 'NN']"
Home-style turkey just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
Authentic apple made in a traditional way,"['JJ', 'NNP', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Traditional sourdough served hot,"['JJ', 'NNP', 'NN', 'NN']"
The best recipe for wheat dosa,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
We serve fresh chikoo with spices,"['PRP', 'VB', 'JJ', 'NNP', 'NN', 'NN']"
Delightful mushroom tikka with curry,"['NN', 'NN', 'NN', 'NN', 'NN']"
Indian kiwi specialty,"['NN', 'NNP', 'NN']"
Enjoy our classic blueberry muffin recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN']"
Get a combo with dhokla and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
Freshly prepared damper bread every day,"['NN', 'VB', 'NN', 'NN', 'NN', 'NN']"
idiyappam cooked to perfection,"['NNP', 'VB', 'NN', 'NN']"
Delightful baked zucchini cutlet with curry,"['NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
swedish limpa with rich flavors,"['NN', 'NN', 'NN', 'JJ', 'NN']"
Freshly prepared carrot chips every day,"['NN', 'VB', 'NNP', 'NN', 'NN', 'NN']"
Delightful rava dosa with curry,"['NN', 'NN', 'NN', 'NN', 'NN']"
Traditional gluten free bread served hot,"['JJ', 'NN', 'NN', 'NN', 'NN', 'NN']"
Flavorsome coconut for everyone,"['NN', 'NNP', 'DT', 'NN']"
Order the best coconut in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN']"
Order the best chole bhature in town,"['VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'NN']"
Traditional damper bread served hot,"['JJ', 'NN', 'NN', 'NN', 'NN']"
We serve fresh raisin cookies with spices,"['PRP', 'VB', 'JJ', 'NN', 'NN', 'NN', 'NN']"
dal makhani cooked to perfection,"['NN', 'NN', 'VB', 'NN', 'NN']"
Get a combo with damper bread and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Experience the taste of orange,"['VB', 'DT', 'NN', 'NN', 'NNP']"
Freshly prepared bloomer every day,"['NN', 'VB', 'NNP', 'NN', 'NN']"
Tasty and healthy caviar,"['JJ', 'DT', 'NN', 'NNP']"
Get dahi bhalla at our restaurant,"['VB', 'NN', 'NN', 'NN', 'PRP', 'NN']"
Get pita bread at our restaurant,"['VB', 'NN', 'NN', 'NN', 'PRP', 'NN']"
Enjoy our classic pita bread recipe,"['VB', 'PRP', 'NN', 'NN', 'NN', 'NN']"
Order the best cabbage kootu in town,"['VB', 'DT', 'JJ', 'NNP', 'NN', 'NN', 'NN']"
The best recipe for baked ragi chakli,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN', 'NN']"
Enjoy a plate of delicious fig biscotti,"['VB', 'NN', 'NN', 'NN', 'JJ', 'NNP', 'NN']"
Home-style peanut butter cookies just for you,"['NN', 'NN', 'NNP', 'NN', 'DT', 'DT', 'NN']"
Authentic vanocka made in a traditional way,"['JJ', 'NNP', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Enjoy our classic onion recipe,"['VB', 'PRP', 'NN', 'NNP', 'NN']"
Try our famous vada pav,"['VB', 'PRP', 'JJ', 'NNP', 'NN']"
Authentic dahi bhalla made in a traditional way,"['JJ', 'NN', 'NN', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Get a combo with fig and naan,"['VB', 'NN', 'NN', 'NN', 'NNP', 'DT', 'NNP']"
Authentic butterscotch pastry made in a traditional way,"['JJ', 'NN', 'NN', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Authentic beans aloo made in a traditional way,"['JJ', 'NNP', 'NN', 'VB', 'NN', 'NN', 'JJ', 'NN']"
Try our famous baked yogurt,"['VB', 'PRP', 'JJ', 'NN', 'NN']"
Tasty and healthy cauliflower,"['JJ', 'DT', 'NN', 'NNP']"
Get rye bread at our restaurant,"['VB', 'NN', 'NN', 'NN', 'PRP', 'NN']"
Get chicken 65 at our restaurant,"['VB', 'NNP', 'NN', 'NN', 'PRP', 'NN']"
Get a combo with ezekiel bread and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Get a combo with pita bread and naan,"['VB', 'NN', 'NN', 'NN', 'NN', 'NN', 'DT', 'NNP']"
Indian ven pongal specialty,"['NN', 'NN', 'NN', 'NN']"
Tasty and healthy cabbage salad with raisins,"['JJ', 'DT', 'NN', 'NNP', 'NN', 'NN', 'NN']"
Home-style uttapam just for you,"['NN', 'NNP', 'DT', 'DT', 'NN']"
Get avial at our restaurant,"['VB', 'NNP', 'NN', 'PRP', 'NN']"
Warm rava dosa on a cold day,"['JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']"
The best recipe for palak saag,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
The best recipe for baked eggs,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
The best recipe for peanuts,"['DT', 'JJ', 'NN', 'DT', 'NNP']"
duck egg cooked to perfection,"['NNP', 'NN', 'VB', 'NN', 'NN']"
Traditional avocado juice served hot,"['JJ', 'NN', 'NN', 'NN', 'NN']"
The best recipe for hot pot,"['DT', 'JJ', 'NN', 'DT', 'NN', 'NN']"
Experience the taste of banana chips,"['VB', 'DT', 'NN', 'NN', 'NNP', 'NN']"
